date,news,close
2014-12-09,"Hard-nosed Ms Watanabe has a yen for Indian bonds SBI launches first homegrown economic index Canara Bank cuts deposit rates Court tells RBI to get tough with banks ING Vysya staff want Kotak’s assurance on job security Realty finds bond issue going tough ‘Hard to spot genuine farm loan seekers’ Amex, Jet Airways to launch first airline co-branded corporate card Lending rate cuts on the horizon: SBI Chief UCO Bank, J&K Bank among best banks in Kerala",209.929993
2014-12-10,"RBI bought $2.7m in in October Coming soon, leg up for insurance agents UK proposes to get tough on senior managers of foreign banks Rate cut if inflation remains under control, says RBI Deputy Governor State Bank of Hyderabad steps up loan recovery efforts RBI finds falling inflation a hard sell for consumers Vikram Akula’s big dream is now for a small bank Banks may ask for greater equity from highly leveraged cos RBI Dy Governor: New refinancing rules soon, rates can soften Bajaj Allianz launches policy revival campaign",214.440002
2014-12-11,"Let banks decide on consolidation: SBI chief Nabard to recruit Grade-A, -B officers India Inc will reduce borrowing by refinancing debt: RBS head Life Insurance Council bats for reduction in service tax City Union Bank eyes business in small towns in South ‘Investors or buyers do not depend on rate cuts’ RBI reviewing priority lending norms for foreign banks Russian bank to provide up to $1 b credit to Essar Group Vigilant but not apprehensive of CAD: Raghuram Rajan SBI chief: Leave it to banks to decide on mergers",214.639999
2014-12-12,"Make for India, don’t ape China: RBI Governor Karnataka Vikas Grameena Bank set to hire more India’s forex reserves down $1.65 bn Andhra Bank cuts interest rate on retail loans ICICI Bank launches new credit card with extended credit period New GM for State Bank of Hyderabad Govt not to implement banking transaction tax PSBs to find capital raising challenging: Fitch RBI Governor: Need more tax breaks to encourage domestic savings Banks must support nextgen of diamond firms: AWDC chief",211.929993
2014-12-15,"Infra push: RBI allows banks to recast existing project loans Bank officers plan candle march ARC gives India positive rating with stable outlook As profitability improves, new players keen to enter general insurance space Central Bank employees union files PIL seeking direction to recover bad loans RBI to conduct Oct-Dec 2014 inflation expectation survey Business hours extended for RTGS transfers First round of coal auctions to see bids for joint CBM exploration Consensus still eludes Centre and States on goods, services tax WPI inflation hits zero in Nov",211.479996
2014-12-16,"Usage-based motor insurance faces hurdles Kotak Bank does a U-turn, seeks board seat in MCX HDFC launches new mobile service SBI to increase branch network in Karnataka DCB Bank plans doubling business in three years HDFC Bank launches branch banking on mobile Axis bank opens all women branch, focuses digital SBI sees RBI slashing policy rates after Feb; expects 50 bps cut United Bank, Dhanlaxmi Bank have high NPA ratios: FinMin IDBI Bank launches electronic insurance account",201.699997
2014-12-17,"A tiny Gujarat village with over ₹1,000 cr in NRI deposits Corp Bank hits Jan Dhan target With RBI relaxing norms, factoring firms can now diversify business ATM maker NCR Corp to roll out products for retail, hospitality sectors RBI slaps ₹50-lakh penalty on ICICI Bank, ₹25 lakh on BoB New vertical soon for I-T dispute resolution: Revenue Secretary Collect levy from de-allocated coal blocks: Ministry GST Constitution Amendment Bill gets Cabinet nod; may be tabled this session Company law changes will help improve business climate: Jaitley Pvt security sector to create 50 lakh jobs by 2020",202.020004
2014-12-18,"SpiceJet: loans will be given only if promoters step forward, say banks Insurance FDI: Centre eyes ordinance route as Rajya Sabha logjam persists Vijaya Bank event at Pollachi Premium rates for fire, group health insurance set to rise Dhanlaxmi Bank push to recover bad loans showing results: MD New GM for SBT network RRBs may get to tap markets for capital IRDA slaps Rs 31 lakh penalty on Canara HSBC Oriental Life Insurance Sundaram Mutual pegs AUM at Rs 25,000 cr in FY15 Diluting government stake is credit positive for banks: Moody’s",211.02999900000003
2014-12-19,"SBI to lean more on tech banking Banking event in Coimbatore to discuss leadership challenges, rising attrition Forex reserves jump $2.17 billion Head of IBA panel Karnataka Vikas Bank settles 1,412 cases in Lok Adalat PF trustees retain 8.75% interest rate for 2014-15 Will make sure States don’t lose a rupee on GST: Jaitley Meeting fiscal deficit target a challenge, says FinMin report SEZs will be able to use infrastructure for general purposes soon ‘India is a huge opportunity for airlines, but difficult to operate in’",208.080002
2014-12-22,"You have just 10 days left to exchange your old currency Reserve Bank comes down hard on evasive borrowers RBI staff to join banking sector strike on Jan 7 Allowing regional rural banks to tap markets will strengthen them, says Canara Bank ED Srei Infra eyes 10% growth next fiscal India needs at least 3 lakh ATMs: NPCI chief Allahabad Bank gets nod to raise funds via QIP MSME advances prime focus area: Canara Bank RBI tightens norms to deal with non-cooperative borrowers Ford Credit India receives license to operate as NBFC",211.080002
2014-12-23,"L&T Housing Fin aims at six-fold increase in loan book in 5 years Syndicate Bank steps up MSME focus Health claims: Insurers pay more than TPAs YES Bank raises $200-m loan from ADB ‘As inflation eases, financial savings should improve’ BofA-ML sees RBI continuing with its token defence of Rupee Dakshina Kannada banks cross ₹47,000-cr business SLBC confirms 100% Jan Dhan coverage in Dakshina Kannada CII facilitates greater credit flow to MSMEs YES Bank raises $200-mn loan from ADB",211.850006
2014-12-24,"Jaitley: insurance ordinance shows commitment to reforms Assocham study says India must position itself as a balance to China-led structure Negotiate, don’t agitate: IBA to unions Corp Bank to accept all RuPay cards IRDA rejects demand to scrap declined pool for third-party motor insurance Banks not against biometric verification Kedaara Capital invests in Au Financiers Edelweiss Tokio Life launches online term plan Cabinet approves Ordinance on insurance Modi to brainstorm with bankers on reforms on Jan 3",211.940002
2014-12-26,"Online money transfers growing rapidly, digital money on the cards Now open, a single window to view various bank accounts Manappuram Group may apply for banking licence Andhra Bank raises Rs 500 cr tier-I capital via bonds Aviva Life appoints Trevor Bull as CEO for India operations Power Ministry delays views on composite cap for foreign investments India gets one more month to sign tax compliance pact with US President signs insurance, coal ordinances The coal mines up for e-auction Food Ministry invites NGOs to run consumer helplines",213.639999
2014-12-29,"RBI happy about economy, but worried about banks ‘New rules reflect NBFCs’ growing importance’ Andhra Bank recovers ₹200-cr bad loans Jan Dhan: banks, LIC told to make claim forms available online 2014: A volatile year for life insurers Jan Dhan may be extended to insurance, pension sectors Recasting loans: early end to regulatory forbearance ‘may be the right step’ Banks can withstand stress test PMJDY may be replicated in insurance, pension sector More transparency needed in audit of big ticket CDR cases: RBI",213.679993
2014-12-30,"HDFC Bank’s new milestone Health insurance sector in good shape Will payments banks be a game changer? Recasting loans: early end to regulatory forbearance ‘may be the right step’ ‘Need to assess economic impact of big CDR cases’ Jan Dhan may be extended to insurance, pension sectors Jan Dhan: banks, LIC told to make claim forms available online Banks can withstand stress test 2014: A volatile year for life insurers Jaitley blames media for creating ‘rift’ with RBI chief",216.470001
2014-12-31,"Bank of Baroda opens 2 branches in Bharuch region  Non-food credit growth of banks dips to 11% in Nov NBFC-MFIs’ credit rate pegged at 10.09% in Q4 E-banking extending reach in a big way Merger threat hangs over Andhra Bank Allahabad Bank revises interest rates MFIs can lend at a maximum rate of 27.74% in Q4 P Srinivas new MD & CEO of United Bank of India Shut out from stakeholders’ meet, bank officers convey suggestions to PM, Finance Minister Publish details relating to write-off of accounts, demand bank officers",216.77999900000003
2015-01-01,"Union Bank home loan offer Set up SIT to probe rise in stressed loans, says bank union Bankers’ meet to focus on restructuring, risk-profiling Jan Dhan: enrolees over 60 short-changed on life cover ‘2015 will be a year of consolidation’ Central Bank of India revises FCNR deposit rates Andhra Bank’s individual identity will be protected: Officers’ Union LIC, UAE bank to launch co-branded credit card Kishore Sansi takes charge as Vijaya Bank MD, CEO RBI cautions public against multi-level marketing activities",216.610001
2015-01-02,"Be socially responsible and commercially viable, banks told ATM at Mangaluru airport Now, over 98% households have a bank account: Adhia RBI advances deadline for providing services to unbanked villages RBI clarification may put paid to many a small bank plan Cashless transactions only way to curb black money: Modi RBI directs payment firms to display company name in products KVGB launches ‘dial for account’ service Koteeswaran takes over as new CMD of Indian Overseas Bank Dena Bank hikes interest rates on FNCR deposits",219.25
2015-01-05,"Forex reserves rose by $24 b in 2014 United India to expand overseas Let Department of Posts run a bank, says panel Banks want sub-sectors under priority lending rejigged IFCI keen on development financial institution status: CEO IBA-UFBU wage talks in Mumbai on Tuesday IFCI inaugurates new regional office in Pune Take decisions without fear or favour: Govt to banks Govt not to dilute stake in PSBs at current valuations: Jayant Sinha Andhra Bank to get ₹300-cr capital from Centre",219.190002
2015-01-06,"Bank of Baroda to raise Rs 1,000 cr SBI sees rise in mobile banking Union flays splitting of CMD posts in banks Federal Bank to expand mobile-based payment service PayPoint to apply for payment bank licence Aegon Religare Life unveils two online plans Banks set to showcase Jan Dhan Yojana project Credit growth hit as economy slows down: McKinsey study Bank strike put off; IBA raises wage revision offer to 12.5% MNC subsidiaries can also hedge forex exposure, says RBI",211.899994
2015-01-07,"Koteeswaran is MD and CEO of IOB Appetite for loans down in Q3 RBI directive to co-op banks Fiscal burden of pensions may reach up to 4.1% of GDP by 2030: Crisil Arcil plans ₹500-cr asset reconstruction fund Wage talks: IBA to revisit unions’ demand Now, tap and pay debit, credit cards from ICICI Bank Religare Health launches policy covering maternity and new born ING Vysya staff irked with plan to merge with Kotak ICICI Bank launches contactless debit, credit cards",213.339996
2015-01-08,"‘Splitting CMD post is against minimum government, maximum governance policy’ RBI issues norms for bank leverage ratio under Basel III LIC betters private insurers in claims settlement Kotak Bank withdraws MCX board nomination Hike in foreign investment limit for insurance sector credit positive: Moody’s State Bank of Travancore seeks SEBI nod to raise Rs 485 cr via rights issue ING Vysya, Kotak Bank get shareholders nod for merger CPWD official sacked for 24-year absence Coal block bidding: the advantage lies with existing mine owners Peak power shortage up 1,812 MW in four days",215.520004
2015-01-09,"Rajan hails govt statement on functional freedom for banks HDFC sells 70 lakh shares in HDFC Life to Azim Premji Trust RBI issues norms for bank leverage ratio under Basel III LIC betters private insurers in claims settlement Shareholders approve ING Vysya, Kotak merger PE firm KKR, Singapore sovereign fund GIC float second NBFC ‘Splitting CMD post is against minimum government  maximum governance policy’ Soon, SEZs will have schools, shopping malls and hotels CBDT notifies new draft of 12 income computation standards",212.089996
2015-01-12,"Fullerton India to open 50 branches this year Rajan bags ‘Governor of the Year’ award Bank EDs: CVC nod for 15 shortlisted candidates For banks, home loan portfolio is losing sheen Regulator red flags high agent attrition in life-insurance space Hike in FDI limit will benefit insurers: Moody’s Credit growth tepid, to pick up after Q2 next fiscal, says SBI RBI, ECB ink MoU OpenWorld Money to get on to mobile platform in March Nabard signs MoUs with Gujarat Govt for Rs 25,000 cr assistance",216.0
2015-01-13,"For India Inc, premiums may not rise this year as reinsurance rates fall DCB Bank net rises 17% in Q3 Pournima Gupte is Member IRDAI Banks need to revisit credit exposure limits of firms: RBI Now, BMB extending loans to women setting up Lakme salons IndusInd puts up a good show Raghuram Rajan wins ‘Governor of the year’ award RBI against broad-basing CRR to include forex, gold Karnataka Vikas Grameena Bank launches new product Lakshmi Vilas Bank Q3 net jumps 4-fold at Rs 32.55 cr",216.320007
2015-01-14,"SBT ‘open house’ today Focus on CASA growth: UBI chief Now, an ATM that will shock crooks Corporation Bank focuses on talent management, leadership development Banks promised zero interference: Finance Ministry tells officials ICICI Bank’s new facility for NRIs ‘Banks not reporting credit information of individual members of self-help groups’ Corporation Bank opens e-lobbies Catholic Syrian Bank CEO Rakesh Bhatia quits Syndicate Bank’s scheme for women",215.00999500000003
2015-01-15,"RBI permits banks to act as insurance brokers Citigroup profit falls on legal and restructuring charges Union Bank cuts base rate by 25 bps Federal Bank net rises 15% at Rs 265 cr RBI urges audit panels to improve monitoring Repo rate cut indicates downward bias in interest rates, says IBA chairman MF exposure to bank stocks surges to Rs 73,000 cr in December India Inc, bankers welcome rate cut RBI rate cut signals shift in policy direction: CEA China central bank tightens loan, deposit measurement as shadow banking surges",219.639999
2015-01-16,"RBI allows NBFCs to fund cost overruns PTC India Financial Services Q3 net down 49% Allahabad Bank raises Rs 500 cr via bonds Life insurance policy holders may get 15% cut in premiums Axis Bank net profit rises 18% to Rs 1,900 cr RBI rings in New Year cheer after all date news1 news2 news3",216.169998
2015-01-19,"Gruh Finance Q3 profit up Indiabulls Finance Q3 net up 21% For banks, education loan is a testing portfolio Why private banks lag on the Jan-Dhan front Fiscal deficit will keep supply of G-Secs high, says RBI ED Axis Bank: good show continues on strong retail push, loan book Banks can up spread only if borrower’s credit profile deteriorates: RBI Bank strike deferred on IBA’s improved offer IFC, Singapore’s GIC to invest ₹1,600 cr in Bandhan Federal Bank Q3 net rises 15%",216.970001
2015-01-20,"Call rate dips a tad, bond yields flat Corporation Bank’s tier-1 bonds Fred Weick is India head of Daimler Financial Services Centre not for 5-day week for banks Tata AIA, Citibank team up to sell customised insurance products Large advances have been muted due to infra bottlenecks, says SBBJ MD RBI for regulating payment instructions in bourses ₹33,000-cr seen flowing into Jan Dhan accounts Axis Bank to raise up to Rs 15,000 cr via bonds Axis Bank reappoints Shikha Sharma as MD, CEO",217.360001
2015-01-21,"ING Vysya Q3 net drops 13% on higher provisioning TMB expanding footprint pan-India Innovation is key to meeting the needs of HNIs, says Tata AIG CEO Restructured loans: banks want RBI to extend special classification deadline IBA-union standoff over wage pact could end soon Curbs on Amanath Co-op Bank L&T Finance Holdings Q3 net up 66% India, US to discuss steps to boost investments in manufacturing Modi push for energy-efficient lights brightens LED prospects Budget likely to remove indirect tax anomalies for boost to ‘Make in India’",225.580002
2015-01-22,"Antwerp Diamond Bank closure Currency relaxation for travellers YES Bank to hire 1,500-2,000 people to push retail business; eyes MF foray Foreign bank DBS may become local subsidiary Insurance ordinance still uncertain: Ergo’s Kleiner Godrej to install automated anytime safe deposit vault Yes Bank leads race for Deutsche's Indian fund arm State Bank of Mysore net up 13% in Dec quarter Govt eyes joint Parliamentary session if insurance reforms delayed: Jaitley Vijaya Bank cuts term deposit rates",223.850006
2015-01-23,"RBI eases norms for revamping ECBs SBI and European Investment Bank sign loan agreement for € 100 m SBI, Ezetap launch `Chota ATMs’ in Kerala RBS to move jobs to India RBI working on comprehensive consumer protection norms for NBFC sector Reliance Cap gets shareholders’ nod for stake sale to Sumitomo Mitsui Vijaya Bank opens 13 lakh accounts under Jan Dhan scheme India, US agree to support each other in ICT, electronics development Time ripe for a broader India-US partnership? Budget hints: No hike in tax rates; sops coming for manufacturing",223.100006
2015-01-27,"State Bank of Hyderabad Q3 net doubles to ₹334 crore ‘Extend special asset classification benefit’ Federal Bank CSR initiative YES Bank signs MoU with OPIC and Wells Fargo to support MSMEs Karnataka Bank third quarter profit flat at ₹107 crore Mfin looking at RBI approval for small finance banking licence DHFL Pramerica Life reports Q3 net profit at Rs 23.68 cr SBI to raise Rs 15,000 cr additional capital from market this year Union Bank slips on poor results Union Bank Q3 net dips 13% on higher provisioning",222.949997
2015-01-28,"CCEA clears FDI proposals of HDFC Bank, Lupin Govt should help NBFCs that provide last mile connectivity: Muthoot Finance chief Cap on collateral-free education loans may be raised Heists throw spotlight on need for better surveillance in rural bank branches Cholamandalam net rises 21% Stop asking for ‘no due certificate’: RBI to banks DBS unveils a/c opening on Tabs DBS Bank launches Tab banking 29 branch heads inducted into Corporation Bank Chairman’s Club After banks, Centre turns to reform of PSUs",223.550003
2015-01-29,Increase in loan book helps HDFC put up a good show No capital account ‘liberalisation now’ Banking industry yet to see achache din: Andhra Bank chief Karnataka Vikas Grameena Bank to appoint women pigmy agents Sinha asks PFRDA to launch more pension products Bharti Airtel and Kotak Bank team up for Payments Bank foray Airtel to tie up with Kotak for payments bank licence OBC shares slump nearly 11% on disappointing Q3 earnings Kotak Mahindra to buy stake in Airtel M Commerce Services SKS Microfinance to apply for small finance bank licence,217.149994
2015-01-30,"Bank of Baroda Q3 profit declines 68% on higher provisions, one-time tax liability More credit card swiping as e-commerce picks pace RBI panel to look into parameters for urban co-operative banks IDFC’s Q3 net down 16% Home loan growth slows down Higher treasury income boosts Vijaya Bank Q3 net Make insurance simple and cheap: IRDA, FinMin DHFL applies for small finance bank, Fino Paytech for payments bank  Dewan Housing seeks small finance bank licence Andhra Bank Q3 net zooms to Rs 202 cr",193.149994
2015-02-02,"Many in the fray are not so well known IT award for Manappuram SBT profit rises five-fold in Q3 Why telecom operators are joining the queue Payments Bank Licence: Know the applicants 40 regulations in the works for insurance sector: TS Vijayan BoM to incentivise BCs Canara Bank’s ₹1,500-cr bond issue Sanjeev Kaushik joins IIFCL as ED BoM’s new mobile app",187.850006
2015-02-03,"Individuals can now remit up to $250,000 a year abroad Loan rejig: Rajan rejects plea to extend deadline Room for further easing of rates: bankers RBI credit policy: Non-callable deposits can address asset-liability mismatch RBI credit policy: Realty players not happy An eye on the rupee rising Monetary Policy: Waiting and watching for the lag effect to kick in Spardha matters, says Rajan on interest rate cut Crucial bank wage talks fail; all-India strike from Feb 25 YES Bank to get aggressive on the business correspondent model",185.050003
2015-02-04,"New India Assurance profit rises 42% in Q3 5-day work-week: five cheers for Henry Ford ‘Investors are now looking at India seriously’ FDI hike in insurance: Centre to soon spell out rules RBI Governor bats for raising investment limit for tax savings HDFC Bank follow-on offer hits markets; to mop up around Rs 10,000 cr RBI releases applicants list of payment, small bank licence Central Bank Q3 net jumps 2-fold to Rs 137.7 cr Banks likely to cut lending rates by next quarter: Uday Kotak ICICI Sec enters into strategic alliance with AM Capital",184.899994
2015-02-05,"Corp Bank extends bond issue date Muthoot Fincorp’s first BC outlet Buying, researching financial products online on the rise: bankbazaar.com Exim Bank raises $500 million RBI issues final guidelines on capital buffer for banks With India Shining, banks go on a fund-raising spree Capital raising big worry for banks in FY16: India Ratings RBI unveils countercyclical capital buffer norms for banks SKS Microfinance completes securitisation worth Rs 83 cr UCO Bank net dips to Rs 304 cr",177.550003
2015-02-06,"FPIs cannot invest further in CPs IDBI Bank profit flat in third quarter Repco Home Finance net rises 13% in third quarter Centre’s promises yet to translate into action, says Bajaj Finance CEO Magma Fincorp exits gold loan business Punjab & Sind Bank profit down 42% at Rs 58 cr in Q3 Dena Bank profit up 13% at Rs 76.5 cr in Q3 Dena Bank Q3 net profit up 13% IDBI Bank Q3 net flat at Rs 102.79 cr Green laws: Ministry to fast-track discussions on amending five Acts",175.949997
